"MassTagID","Project_A_X_1","Project_A_X_2","Project_A_X_3","Project_B_X_1","Project_B_X_2","Project_B_X_3","Project_C_X_1","Project_C_X_2","Project_C_X_3","Project_A_Y_1","Project_A_Y_2","Project_A_Y_3","Project_B_Y_1","Project_B_Y_2","Project_B_Y_3","Project_C_Y_1","Project_C_Y_2","Project_C_Y_3"
484430638,NA,NA,NA,NA,NA,NA,NA,NA,NA,4678287,3180158,3824046,58389698,68598205,54052910.5,643329315,442808359.5,723520995.5
484430657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,942024,1291282,2223222,34796070,30737654,29078591
484430674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7519866,7424114,8778094,109750067,122607435.5,97517076
484430699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180990,6174758,2531763
484430704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2236247,6192084,3464297
484430717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280532,2092769,429032,12080358,17321513,24312112
484430753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11941377,9600023,6968833,116290678,147483923,129958081
484431477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781079,2090270.5,614623
484432163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3078769,3362560,2835621
484432174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137572,1026915,832740
484434295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484442546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484450472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1886093,3088868,1495250
484454429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199480,NA
484462689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59515,NA
484468349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484432159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3664947,2898583,2647474
484430633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555499,6512503,NA
484430635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4879289,6999769,NA,54854329,31506055,45784321
484430636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484430656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10315607,12749811,4368559,123277246.5,145749336,138817659
484430662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1820184,800990.5,1300273,25007856,21613908,15491667
484430666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1685739,2899412,1642256,34261228,22604578,31247612
484430669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734666,2503710,904904,17481424,19478860,19777854
