"MassTagID","Project_A_X_1","Project_A_X_2","Project_A_X_3","Project_B_X_1","Project_B_X_2","Project_B_X_3","Project_C_X_1","Project_C_X_2","Project_C_X_3","Project_A_Y_1","Project_A_Y_2","Project_A_Y_3","Project_B_Y_1","Project_B_Y_2","Project_B_Y_3","Project_C_Y_1","Project_C_Y_2","Project_C_Y_3"
14906224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15811348,NA,NA,NA,1411138.5,1199879,NA,NA,2246380,NA,1503461,923250,2092984,NA,2542636,NA,NA,1475860,3690816.5
15840101,374464,NA,NA,NA,NA,665327,NA,NA,NA,NA,467700,NA,NA,NA,NA,NA,NA,NA
15897335,NA,NA,NA,731982,NA,NA,NA,1012129,1947493,NA,NA,NA,NA,NA,651910,NA,NA,NA
15899977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20934691,NA,NA,NA,NA,NA,NA,NA,812508,1349333,783762,NA,NA,1168912,NA,NA,NA,NA,NA
21091152,NA,NA,NA,NA,NA,335547,NA,NA,897066,NA,NA,NA,NA,580226,NA,NA,NA,NA
21273536,NA,730413.5,777846,462325,732497,598984,NA,551220,468037,537089,NA,NA,NA,NA,NA,NA,NA,857598
21290379,NA,NA,NA,NA,NA,805168,NA,809172,358839,1325879,NA,NA,385106,NA,NA,1019635,600579,1171345
21305199,5693554,6598233,4637548,4924964,7560422,4614121,6138460,5687546,4338819,6057405,5013987,6812956,3911779,4047742,4446785,6122608,6219728,6038053
21318696,169779,NA,NA,227726,NA,NA,NA,NA,301064,306287,188006,NA,255297,875388.5,828444,20026,1005759.5,NA
22916805,599541,1000134.5,907064,1391248.5,2645207,1089502.5,NA,942152,1807315,NA,590287,1611276,550968,906510,825923,1610126,2304086,1183070
22920643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27820140,NA,NA,NA,NA,2018798,787192,1331700,2275203,2146246,NA,NA,2526112,1827887,1013628,NA,1377278,2841912,NA
29175011,2215167,NA,NA,NA,4190285,NA,NA,2757822.5,NA,NA,NA,3533414,1085763,NA,NA,NA,NA,NA
32124756,NA,NA,NA,NA,NA,NA,549014.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32236352,NA,NA,527516,1003075,1676251,1287238,763322,2497813.5,1924146,2740623,1591648,2601049,1253701.5,1438613,1716162,2566895,3480382,2401457
32238394,2711724,2432655.5,NA,2140718,5337104,2876287,3049518.5,5269088,4639922,2608580,2133456,3954212,2690266,2394257,2399913,4014699,3837960,2844609
32274524,NA,NA,1555467,911286.5,1736477,782443,NA,2455384,1885507.5,758238,1120567.5,1944874,2229899,NA,1019121,1308110,2482247,1646401
32455453,950442,1273948,1174812,1013690,1658478,1464839,NA,2421933,816748,1068183,707990,1606967,NA,NA,NA,2241600,825320,1481830
32535942,1087334,NA,NA,1360886,1022761,1209813,NA,678073,299962,2088522,1309220,1673625,1598520,1955940,1105176,543486,1995738,217703
32544655,376168,NA,124271,NA,NA,120214,NA,588499,540901.5,NA,NA,424791,109818,NA,239598,NA,1009573,488007.5
47454464,NA,824449,590383,NA,NA,495642,NA,1416281,852421,2702502,NA,2026818,NA,NA,NA,NA,NA,NA
47460765,NA,NA,NA,NA,NA,NA,NA,NA,397360,NA,NA,NA,NA,NA,NA,NA,NA,NA
47572445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47576887,NA,NA,1613978,850086.5,1594814.5,727009,NA,1388819,1032848,NA,NA,1853608,1404287,NA,NA,1652164,1515337,NA
47582847,885705,1584522.5,1389752,2560454.5,1795154,1097040.5,1963369.5,1281769,NA,1005140,1501148,2377933,NA,NA,1246316.5,2109151,1403030,2636064
47616452,NA,NA,1979884,577933,1102557,1032938,NA,1645430,1693998.5,NA,NA,NA,896738,677070,NA,NA,1211049,NA
47645531,2637711,1924688,3844405,2372694,4438038,1671012,2187056,3331261,NA,3535975,NA,5073868,2757819,NA,NA,1986134,2988639,NA
47647090,1184338,NA,1871689,583764,2569551,639740,1438191.5,1731166,NA,NA,750662,805985,1269698,1397922,NA,1742704,1605851,NA
48122459,1130798.5,752442,1186771,NA,2135815,NA,NA,1302434,717610,NA,NA,870783,NA,NA,NA,NA,833170,NA
48489104,NA,NA,NA,263719,363227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59610300,1924444,1084383,2153957,1237947,2721514,945818,NA,2280038,1273109,1633491,1805507,2208596,2101937,1115819,752280,1698995,3806523,3136934
59652278,2108432,1344809,1861323,1292279,1644224,1784716,2177930,2261476,NA,NA,NA,2612194,1258495,NA,931886,1541533,1368671,1908066
61234049,1493919,657417,1804231,778471.5,2868480,924511,NA,2082396,2247358,1673044,1642249,2574901,2007910,NA,975631.5,1750273.5,2227331.5,1802828
67377856,NA,NA,2247420,2496931,2854766,2548677.5,1752537,2411283.5,1928989,2047365,NA,2720165,NA,2324560,NA,1848970,NA,2825515
69045834,NA,NA,431037,1477314,2491968,NA,NA,NA,NA,NA,1243117,1502121,629640,924266,871530,996453,567811,728482
69047023,NA,NA,NA,NA,NA,NA,NA,1703538,NA,NA,NA,NA,NA,NA,NA,NA,756619,NA
69057942,NA,NA,NA,NA,1053511.5,NA,NA,NA,NA,NA,673183,608785,341553,NA,791189,NA,678205,NA
70718772,NA,NA,NA,331697,NA,452786,NA,NA,260538,229920,410515,191041,685323,794873,766633,111655.5,1100643,59343
71431777,NA,NA,NA,NA,1072161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74967057,2440155,2420797,3450697,3226049,4029167,1948807.5,3006269,3321977,1889889,3618354,2419333,3375477,2205611,2298832,1895501,2647989,3745983,3160211
74992677,NA,NA,1550643,NA,NA,NA,1156351,NA,1760243,NA,586339,1278813,1548271,1406756,893176,NA,1605666,865242
77629837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77811961,3331196,3754706,3111477,3623124,4739147,3119189,NA,3392136,4092634,3351044,2695295,3356537,3931109,NA,2782314,NA,1013780,NA
78787389,NA,NA,NA,NA,54522,NA,NA,NA,NA,43168,NA,NA,NA,NA,NA,NA,NA,NA
109505007,NA,769197,1639870,845520,2111379,558368,773666,1636504.5,924713,1627795,1966927.5,2187235,1123347,711958,642265,2152316.5,1656134,1971413
109542343,452252,1073848,466094,NA,1099652,NA,NA,964498,NA,NA,NA,1184566,NA,NA,NA,NA,NA,966994
127333717,NA,1516692,1506378,1037477,4153884,1596469,1838501,4026675,2615322.5,NA,2327433,4548595,3415098,2991118,2048050.5,NA,3591146.5,4199717.5
147746657,NA,NA,808847,1012967,404906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412015,NA,NA
162106792,993880,NA,NA,566436,NA,1333280,NA,689088,532304,832858.5,1200807.5,882973.5,1340814,895487,461421,NA,NA,NA
167893044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193218638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202899779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220288074,NA,NA,NA,NA,NA,NA,NA,NA,279712,NA,NA,NA,536993,NA,NA,NA,NA,NA
245903225,103000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416780,NA,NA,NA,NA,NA,NA
426780280,430445.5,NA,NA,NA,70256,1380671,NA,NA,251430,NA,NA,1031204.5,NA,641951.5,889963.5,204747,263424,NA
7694532,NA,NA,NA,NA,NA,1345845,NA,NA,NA,1147066,NA,1233166,NA,NA,NA,NA,1901123,NA
7695455,453693,248825,186645,308974,592836,398595,NA,284803,379549,643791,723477,1146557,943284,630329,290850,487730,832484,1087738
7720083,NA,4900633,NA,NA,NA,NA,NA,NA,NA,5126407,NA,4892843,NA,NA,NA,NA,NA,NA
8698614,14622078,12880729,16568451,12601908,17002315,11443590,11662025,17909985,14383647,16956551,15388103,15086767,14774372,14521090,11950700,16259181,20282910,15856347
9043110,3818620,3723166,2727467,3607534,4733002,4188286.5,2479860,4010398,4635447,2693090,3627572,4022676,2348575,2844458,3286666,5203451,2308575.5,4592720
9227918,1439243.5,94840.5,187538,1285558.5,NA,4776636,312980,NA,1421510,2264142.5,3328462,728299,2842298,5815230.5,4288214,195182.5,3320601,NA
9241111,245863,NA,NA,NA,NA,1634304,NA,NA,450083.5,546155,389770,80258.5,840018,1964918,1894987,NA,1469454,NA
15037264,3319560.5,1038444,2639193.5,1892285,NA,2113750,1431813,1141526,2171208,968364,2216965,1407821,3824211,2474738,1841348,2178486,2178064,1711582
17000603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106922450,NA,NA,NA,NA,NA,111128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7779640,1850750,1180559,1267701,1255250,2186495,1009261.5,887968,2267629,2102042,1638172,2510332,2625168,2108114,1922116,1632726,1783126,2797696,2797438
7945948,1567354,1286928,NA,NA,2102757,NA,1858098,789587,NA,1568627,NA,1539176,878874,1083324,1010329,NA,761281,NA
12568059,991410,957393,NA,NA,1515732,417381,1252233,1156560,701952,NA,1344751,NA,731614,NA,NA,NA,NA,NA
12597554,784005.5,950182,NA,736183,1208390,NA,NA,1675477,1460696,NA,1010254,934434,719693,556659,1197257,1312816,1017616.5,NA
7666118,6477240,7226509,NA,6571255.5,6684847,NA,NA,5642740,4495331,NA,7604733,4135530.5,NA,4783987,NA,5881129,3880871,7010328
20925188,259130,186273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20961722,537792,660986,871892.5,793873,973394,NA,1195716.5,592750,805137,504976.5,697537,680438,283827,336968,400600.5,617683,400879,912332
7691622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12554669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12616205,NA,NA,NA,NA,220191,NA,NA,190924,NA,NA,NA,NA,NA,NA,NA,NA,NA,351279
32536124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48193117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59602762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78168771,NA,NA,946527.5,613773,1264879,1262095,669989,1181604,1406986.5,1495918,343396,1163919.5,604245,NA,NA,NA,NA,NA
8740641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15867510,NA,NA,NA,1927468.5,NA,752399,NA,NA,NA,NA,NA,1004677,1206364,2173283,1599902,NA,NA,NA
61139372,6320984,6240714,5814836,5850767,3587104,4601896,6151031,3362828.5,4003760,6722427,7218297,7031330.5,6925185,6618497,6249025,4101324,4310649,3255280
113696424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187038817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213954444,NA,NA,709460,NA,1323926,1114847,NA,NA,NA,NA,1209728,NA,1047455,1156048,1939405,NA,NA,NA
32164512,6258478,NA,3970853,NA,6413957,4259275,5392065,5763836,3737090,4907241,NA,NA,3550495,4021219,NA,3694954,5202242,4045230
32213757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59621200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76162731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130577859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7640625,NA,787108.5,359948,NA,527704,NA,383756,675609,749612,596222.5,NA,618021,938860,347438.5,NA,427916,457465,716302.5
14751065,NA,121630,NA,NA,306417,NA,NA,193581,115751,NA,NA,NA,NA,NA,NA,NA,NA,NA
21517854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32284235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2609481,NA,NA
55701112,NA,NA,NA,NA,NA,NA,NA,505758,NA,NA,NA,621055,NA,NA,NA,NA,NA,NA
111676681,NA,NA,NA,NA,NA,NA,343476,NA,NA,NA,NA,423001,NA,NA,NA,174898,251698.5,NA
112377077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219240380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219601341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219601354,NA,NA,NA,NA,134417.5,NA,NA,159904.5,NA,NA,NA,231235,NA,NA,NA,NA,NA,NA
293038949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484439276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9471926,NA,NA,NA,NA,NA,156290,NA,NA,NA,NA,NA,NA,65219,NA,NA,NA,NA,NA
12570151,NA,NA,NA,2056747,1260296,589653,NA,826473,1241009,NA,1040092,NA,NA,NA,NA,1086618,1008116,NA
12644792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44683985,3623478,3514845,2631996,3772231,3973699,3290117,3764446,2482335,3446413,2897504,3260204,2756584,3042904,2826307,3116622,3441819,3502885,3446855
59650712,NA,653813,NA,NA,1366100,NA,NA,NA,NA,NA,NA,1115677,NA,NA,NA,NA,NA,NA
66432256,NA,793224,995355.5,1059798.5,2326710.5,799643,1120734,1588845,1416550.5,1625379,614130,2151289,1302430,1276725,471432,1106401,1908776,2137822
166092199,NA,489368,NA,431015,NA,NA,NA,444773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219417252,NA,NA,217682,183338,302504,158365.5,NA,223109,118252,447063,NA,NA,505384,NA,180680,177351,198419,NA
12324494,NA,NA,NA,NA,NA,467466,NA,NA,NA,NA,673527,NA,975315,NA,NA,NA,NA,NA
12779080,NA,966376,1437160.5,NA,1115812,NA,NA,NA,NA,NA,NA,NA,1500775,1577426,831828.5,750943,NA,NA
14861322,NA,NA,NA,NA,NA,NA,NA,NA,642077,NA,NA,NA,NA,NA,NA,NA,NA,NA
16498857,NA,NA,NA,NA,NA,695849,NA,NA,355055,NA,NA,NA,NA,NA,NA,NA,NA,NA
21215055,NA,954429,NA,NA,1582189,595473,NA,NA,NA,NA,841475,1551741,1135194,NA,NA,NA,NA,NA
33944653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7605792,5053754,4801344,2477381,3680232,5695883.5,3224442,2177230,5142521,5400842,3573467,3249611,4670762,2950045,2904770,3292673,3899539.5,4948665,3883713
7606895,NA,NA,NA,NA,NA,NA,NA,NA,550799,NA,NA,NA,NA,NA,NA,NA,NA,NA
7633512,10889515,11148565,8361134,9338199,10145307,7210213,10897598.5,6764049,4475754.5,11590364,12540535,7161218,11506377,11463672,7981856,8334668,4527900.5,10950303
7645496,4916832,5463235.5,1951462,NA,3506099,NA,3623171,NA,NA,3215044,3291015,3272589,948502,732269,2568614,2822159,NA,2361994
7650820,1949866,2048157,528441,595713,1833967,730856,1168575,2434254,3259796,NA,1073642,1448404,1369156,NA,1572545,1225747.5,1630566,NA
7677733,3660270,4962532,2321845.5,3459917,5116777,1816859.5,1614215,3606578.5,2148764.5,3436689.5,4094002,5120420,2876536,3420525,3486581.5,1280460,2850658,5789673
7715673,NA,NA,161161.5,NA,NA,NA,NA,NA,95965,NA,330679,NA,NA,NA,NA,NA,NA,NA
8621897,3720561,6011251,3721696.5,NA,5524458,3216050,4094341,1322014,2731866,4500626,2261296.5,2974675,1393196,2988854,2709436,4270732,3711396,5228670
8640637,10591299,10353572,9756847,8651924,12009141,6483210,10234416,9077079,7523455,11971424,8098384,11033402,7758793,9971282,7939472.5,8550004,8083748,8962821
10365867,600164,648901,379754,512483,551274,192359.5,407885,223715,NA,873723,624834,1049458,966375,762976,248841,387042,NA,352115
12625157,8374961,8648862,8032923,8084618,9954282,6977203,7985784,8365814.5,7333267,8090382,6840481,9531617,7615067,8574826,7697639,8545336,6533470,9650195
14185938,2744118,2141598,1923629,1545406,1951288,1291354,2019057,2424695,1591116,2259042,2440913,2527999,2487577,2790087,1422654,1597810,2282326,3015222
14187442,1023421,1041847,802980,767986,1192104,360853,1003309,676713,379292,1845507,1407439,952813,996074,1467078,547367,860782,969290.5,890883
14258538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14280300,8682991,6424713.5,7476793,5253910,7990733,3788649,7150315,5076082,3678000,5368339,6376533,5972961,5021111,7015562,2750915,6949682,3414081,6164841
14485568,761060,NA,558682,NA,976875,NA,NA,NA,NA,NA,NA,NA,800100,NA,NA,NA,NA,NA
14518122,541639,354530,293951,240436,532444,187459,297065,370120,403122,324966,377809,212552,327600,314321,133991,345714,379438,182039
14821891,147297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218895,NA,NA,NA,NA,NA,150755
27010936,3200607,3879199,3362887,3527811,3508096,NA,3432089.5,1923410,NA,4315893,3460102,2324960.5,2718430,3282363.5,1846202,2147169.5,1681271,1788960
28644822,7932615,6395981.5,2880994,3890471,7600510.5,5921516,5180859,4332326,7746130,5618714.5,4500433,5057344,2354366,3335535,5956315,6757723,1301809,3315825
32212086,1110484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32822369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43474321,2593457,1908602,502803,NA,NA,NA,NA,637175,NA,3353791,2691987,NA,1736875.5,NA,752735,1762354,NA,NA
44264088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71864653,1344361,1119604,1258244,890636,1843617,1738710,1174483,1339886,1479697,1425483.5,1416724,1362989,1536865,1116662,930915,1310188,1354632,437218
74835941,1693104,1328335,1469122,1570259,1548099,414655,2101253,647874,299769,2677352,988353,1873493,955146,1474312,217995,1080843,632218,1057985
77901068,1004194,NA,NA,NA,1293546.5,NA,1537234,938160,NA,1451815,1354204,1397858,1090961,890834,NA,NA,1074693,1763378
77975665,2976258,4166463,3343130,2754511,4142734,2134159,2632661,3167672,2769048,3290855,3622158,3454206,3179362,3224034,2938543,2084827,3043744,2334978
130741724,NA,NA,NA,NA,NA,NA,87346,NA,NA,NA,NA,NA,NA,63279,NA,53169,NA,NA
148453103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150159680,377488,382813,367759,376906,539195,349732,289461.5,265292,263461,666565,334662,515218,341584.5,346440,186335,341850,NA,186559
167846973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167862303,7467142,9192821,6954649,7107226,10983883,5218577.5,7878581,8758699,6612151,7618461,8014057,9016357,5679817,7308682.5,6971803,7249244,7487405,8134441
168031685,NA,NA,NA,NA,NA,NA,NA,106434,84128.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
170630636,3081945,2694510,NA,1774297,2984372,2392424,NA,2599015,2611136,2886723,2817884,3276864,2656923,2999680,1915137,2648364,2844787,2122897
172818209,NA,3646516,NA,NA,NA,NA,NA,NA,4087773,NA,NA,NA,NA,NA,NA,NA,NA,NA
172906564,559053,554522.5,NA,180417,423669,NA,591459,323031,265092,792002,942358,NA,1566181,476421,694646,NA,370029,236115
174219586,6084529,6375733,4563715,2996602,5083260,4442569,4929819,4187704,2988681,5762600,6101971,4785077,4104466,4644953,2697766,3202497,3431948,3959368
199879612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221585.5,NA,NA,NA,NA,NA,NA,NA
205532060,NA,754466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205538988,NA,NA,NA,39086,67491,NA,69629,NA,NA,87119,NA,81937,63100,53579,NA,NA,NA,NA
206616412,NA,NA,NA,1108690,NA,NA,430861,NA,NA,2702185,NA,375933,NA,NA,NA,NA,NA,NA
209485652,679946,NA,NA,NA,756300,918408,NA,1268730,2212560,NA,NA,867553,NA,NA,NA,NA,1437804,677409
219352695,NA,107869,NA,NA,NA,NA,NA,NA,NA,118452,NA,NA,70233,193605,NA,NA,53499,127110
219352723,NA,37422,NA,NA,NA,NA,74739,NA,NA,71568,NA,NA,NA,105272,NA,66347,NA,NA
219352754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219352756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254912047,861760,738301,NA,NA,855304,NA,NA,512590,478923,NA,786889.5,262995,455755,NA,194119,670965,NA,NA
293751137,1367714,NA,936847,3146348,NA,NA,3131572,768550,1162809,5022436,NA,NA,NA,3496130.5,NA,NA,3710271,1379990
183715882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7718136,1981881,2519418,2068503,2213865,3630550,2784033,2986717,2663806,3115736,3071859,2593940,3714727,2931286,3912697,2525313,3019744,3489529.5,3083990
7004008,1047401,782908,1089535,NA,NA,1448967,1909169,2022082,NA,2814259,NA,2105609,872427,582167,710749,NA,1157221,1096701.5
8620986,1191537,662427,1539795,1014198,NA,1402201,NA,852874,981639,964046,1229524,1296587,1281348,1395571,NA,1456710,1122875,1912814
14920241,138767,NA,NA,NA,206652,NA,NA,181012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78235505,NA,NA,1091993.5,NA,842602,NA,NA,1109721,589423,892057,NA,1099880.5,NA,763122,733798.5,NA,576516,1663095
109882277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176237957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216595005,69343,NA,NA,NA,NA,NA,35837.5,NA,NA,NA,NA,87521,NA,NA,NA,NA,NA,NA
220402954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7076004,3581328,4459750.5,2905065,5495327,5665135,3484204.5,3961920,3100781,3567456,5281313,4337970.5,5396642,1850239,3802052.5,2341655,3730754,5179452,6532231
7273886,1358028,913428,385138,686785,670989,951931,651459,461224,198239,790502,1175364,1520423,615361,829960,510037,469081,449865,NA
7304641,NA,2698337,NA,5013895,3678701,3442037,3298874,3966185.5,4476827.5,NA,3660572,3715770.5,2250254,NA,2165282,NA,2901904,4629552
7612749,8205203,5507160,6221245,4748521,7115252,3892083,6749487,5223150,4748241,5858895,6267480,5410334,3871968,4733924,3585247.5,6355054,4669919,6304378.5
8931678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3893350,NA,2718204.5,NA,NA
8993289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12609169,13018475,11707323,11231304,11088014,15603479,10220069,12808195,12947853,11307437,13135172,11583796,14853586,8417191,11079175,7228405,9838701,11409715,11365173
17039411,5593156,4310001,4514084,4573223.5,5006286,4169144.5,5757144,5474079,4966169,5458907,5802168,3489242,3639734,4189610.5,3245328,4427387,3363936,7383995.5
34224388,2326094,2788365.5,2456833,1752659,2545240,1717858,3601174,1028938,2092916,3686699,3192703,2896490,2191969,2790406.5,1494078,3030218.5,3487932,NA
77541177,176325,NA,141631,216237,195323.5,79495,248924,53825,NA,541851,316633,370465,279334,325690,NA,179752,113859,445213
77573991,13370686,15536369,5196151,14764788.5,17402636,6077945,12304600,12280656,NA,11617312.5,NA,13466032,4947048,8303416,6895128,13113314.5,10612683.5,14240135
77611053,11902534,9605980,10667885,10774025,11761092,9986740,11412930,11015929,10112022,12685335,11530827,11149466,9251548,10400153,7162981,12662348,12520109,13916148
77640849,15845004,16727560,13436634,15361236,18768809,12336843,20057781,19361815,15324776,17172141.5,18727030,17760139,13082832,13002232,11633567,17130882,18553547,18767547
77673006,NA,NA,2181164,NA,NA,NA,1010013,NA,2768295,NA,NA,1877486.5,2324553,855944,NA,NA,1087808,NA
77739246,1059481,627063,654833,826071,1048459,987728,1159844,816985,824539,1321542,1373265,1246302.5,825116,1037857,577733,1164029,1189956,957729
77811186,2244195,NA,1508291,NA,2653016,1071463,NA,1817373,1933766,NA,NA,1972614,NA,NA,NA,NA,2670120,1585006
78066025,2215486,2199364,1385814,1207377,1090277,1525952,2867301.5,2109805.5,906605,1409853,1435512,2014843,588947,710614,612382,1881900,1226893,2569435
127339501,2299174,1992658.5,1603748,1457744,2985590,1222443,2373603,1839076,1329892,2161705,2005608,3005974,1288319,NA,1119223,2764484,NA,1629604
196579612,2090291,1492892,1598788,1215801,1938562,2233181,1871363,1969821,956394,1387964.5,1025424,2583579,1198575,866416,652377,2122174,NA,1389965
6952492,5686409,4845706.5,1049598,NA,7497815,NA,1201166,4766479,520862,5883549,NA,5550269,1922003,NA,NA,NA,NA,3185542
7095667,3105901,13518617,7430140,7894032,19960078,5230817,8999407,8011492,8026193.5,6922264,5198882,8651922,3979895,4468178,3191706,11542626,5768140,11847596
7120682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7135079,4969746,6591805,4835380,5927788,6890927,4508216,6764118,5333578,4863934,5937781,5173632.5,5786068.5,3880304,4921381,2732835,7550968,6962202,7013347
7139566,5887381.5,3856868,4084843,4397417,6787036,3998018,3625509,5057516,4470666,5582306,4944163,5584675,3941702,5123486,3431904,5198747,4441965,7442089
7278018,14374353,12522696,9374120,12263690.5,16457990,7830732,12868431,12097493,7606987,11874810,5997449,18230546,7115364,12403192,5986659,16576458,14251939,17221987.5
7284549,NA,NA,NA,NA,NA,NA,NA,NA,NA,2821302,NA,1789213,NA,NA,NA,NA,NA,NA
7451056,3748765.5,4250561.5,2835461,3509122.5,4707156.5,3166297,3573231,5724611,5137470,2922729,3065094,4109291,3020277.5,2077373.5,3159030.5,4090743,4036505,4204776
7570040,1074281,1570068,NA,NA,2376021,804068,939883,1655874,2210625,NA,NA,NA,NA,NA,NA,1336415,NA,860561
7575795,3385263,4510706,2768384,3549933,6550964,2658099,3480844,5099265,4651673,2070389,3222013,4316804,2495061,2430204,2321619,4874186,3272673,4886990
7582876,2468619.5,758568,504378.5,1960383,955463,2863614.5,912466,647349,1357720,1869941,2345784,1530668,1210655,1754181,2370206,1464923.5,2626034.5,965157
7583128,1946303,1959215,1610968.5,1095731,2942705,1924584,1003933,2139272,1879664,1049626,NA,1341942,NA,1263099,NA,2511003,2147618,2086673.5
7591083,5130989,5361315,4260424,6424094,10008433,4301148,6271819,6481908.5,5016693,7032678,3047529.5,7356303,2733301.5,6057281.5,2306712.5,6686096,6224715,9849598
